program,program_id,method,access_class,evidence,recent_transactions,recent_success,recent_failed,one_signer_messages,two_signer_messages,one_signer_success,one_signer_failed,two_signer_success,two_signer_failed,ch_only_success_evidence,ch_plus_user_evidence,effect,caveat
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,Migrate,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BatchCreateLoanSnapshot,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowSyncByWorkerKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowByWorkerKamino,worker_automation,observed_recent_window,559,559,0,559,0,559,0,0,0,true,false,"Refresh Scope/reserves/obligation, borrow USDC from Kamino through XPlace 1, then route it to the linked XPlace 2 card PDA.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepaySyncByWorkerKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayByWorkerKamino,worker_automation,observed_recent_window,11,11,0,11,0,11,0,0,0,true,false,Take reclaimed XPlace 2 USDC and repay a Kamino obligation through XPlace 1.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayByWorkerDrift,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed worker-side repayment through an XPlace-managed Drift account.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowByWorkerDrift,worker_automation,observed_legacy_stratified_sample,0,0,0,6,0,0,0,0,0,true,false,Worker-side borrow against an XPlace-managed Drift user account; historical one-signer evidence exists outside the latest decoded window.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,CreateAccount,hybrid_lifecycle_or_user_worker,observed_recent_window,196,112,84,196,0,112,84,0,0,true,false,Create the program-specific user/card account state and associated PDA links.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,CreateAccountKamino,hybrid_lifecycle_or_user_worker,observed_recent_window,152,152,0,124,28,124,0,28,0,true,true,Binary-exposed program method; see on-chain account and instruction checks.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,CreateAccountDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Create an XPlace-managed Drift user/subaccount relationship.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,CloseAccountDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Close the XPlace-managed Drift account when program and balance checks pass.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RebalanceDrift,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Worker-side Drift position rebalance.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,UpdateBorrowLimit,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,DepositDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Deposit an allowed asset into the linked Drift account.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,DepositKamino,hybrid_lifecycle_or_user_worker,observed_recent_window,306,302,4,132,174,128,4,174,0,true,true,"Deposit SOL/USDC/USDT/ETH/cbBTC/JitoSOL through an XPlace 1 PDA, mint Kamino collateral receipts, and update delegated farm stake when configured.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Withdraw from the linked Drift account with user/account authorization checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawKamino,user_position,observed_recent_window,212,208,4,0,212,0,0,208,4,false,true,"Redeem Kamino obligation collateral, burn reserve collateral receipts, move the underlying asset through the XPlace 1 UserAccount PDA, and pay the user ATA.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawAndSendKamino,user_position,observed_recent_window,39,39,0,0,39,0,0,39,0,false,true,Redeem Kamino collateral and forward the underlying asset to a destination in the same atomic transaction.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowSyncKamino,user_position,observed_recent_window,4,4,0,0,4,0,0,4,0,false,true,Borrow using a synchronized loan snapshot/target-APY sequence and then update state.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowKamino,user_position,observed_recent_window,48,48,0,0,48,0,0,48,0,false,true,Two-signer user borrow through XPlace 1 into Kamino Lending; recent evidence pays underlying USDC to the user side.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,BorrowDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,User-side borrow through the linked Drift account.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepaySyncKamino,user_position,observed_recent_window,2,2,0,0,2,0,0,2,0,false,true,Binary-exposed program method; see on-chain account and instruction checks.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayKamino,user_position,observed_recent_window,171,171,0,0,171,0,0,171,0,false,true,Two-signer repayment using USDC withdrawn from the linked XPlace 2 card PDA.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayDrift,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,User-side repayment through the linked Drift account.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayWithBuffer,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Repay using an intermediate buffer state and later completion/revert rules.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RepayWithBufferKamino,user_position,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Kamino-specific buffered repayment branch.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawByWorker,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed worker withdrawal path; no execution observed in the decoded transaction window.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawByWorkerKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed worker collateral-redemption path; presence in the binary does not prove unconstrained CH-only use.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,CompleteDeleverageKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed completion stage for a constrained flash-loan/swap deleverage bundle.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,ClaimDfxDrift,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Worker-side claim path for the Drift/DFX integration.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,UpdateTargetBorrowApyKamino,worker_automation,observed_recent_window,3,3,0,3,0,3,0,0,0,true,false,Worker-side target borrow APY maintenance.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,UpdateLoanSnapshotKamino,hybrid_lifecycle_or_user_worker,observed_recent_window,7,7,0,1,6,1,0,6,0,true,true,Refresh the loan snapshot used by synchronized borrow/repay guardrails.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,ResetLoanSnapshotKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Reset stale or invalid loan snapshot state.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,RevertRepayWithBufferKamino,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Revert a timed-out buffered repayment under the program's timeout checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
